FileName, AdjustedDuplicateLOC
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\DerivedFakes\WizardTaskImpl_UT.h,27
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\AccumTaskImplMock.cpp,28
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\AccumTaskImplMock.h,52
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\CnvCustomWriteModuleImplMock.cpp,89
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\CnvCustomWriteModuleImplMock.h,129
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\edts2GclientimplMock.h,10
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\edtsclientimplMock.h,10
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\EnsembleImplMock.h,8
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\HSPMAcqModuleImplMock.h,16
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbDnMSingleSegmentToolMock.h,12
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbDnMToolElementMock.h,59
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbEnsembleFwkMock.h,41
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbToolFwkMock.h,8
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbToolSegmentMock.h,12
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbWellLogDocumentMock.h,14
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbWlSingleElementSegmentImplMock.h,26
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbWlSingleElementToolMock.h,110
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbWlToolMock.h,8
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ISlbWlToolSegmentImplMock.h,11
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\LogGraphics\ILgBIDataTransformerImplMock.h,125
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\LogGraphics\ILgBIDataTransformerMock.h,52
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\LogGraphics\ILgWFDataTransformerImplMock.h,30
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\LogGraphics\ILgWrapperChannelScalarDoubleMock.h,67
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\LogGraphics\ILgWrapperChannelVectorDoubleMock.h,54
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\MockILgWrapperChannelVectorDouble.h,14
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ToolControlTaskImplMock.cpp,11
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ToolControlTaskImplMock.h,75
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ToolElementImplMock.h,71
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\GMock\ToolStringMockHelper.cpp,27
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\AcqModuleImpl_UT.h,23
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\CaliComputationModuleImpl_UT.cpp,46
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\CmpModuleImpl_UT.cpp,10
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\CmpModuleImpl_ut.h,28
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\CnvCustomWriteModuleImpl_UT.h,21
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\CSlbCalibrationDef_UT.cpp,7
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\CSlbCalibrationDef_UT.h,8
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\CSlbCalibrationDef_UT_DLL.cpp,7
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\CSlbCalibrationDef_UT_DLL.h,8
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\DTSClientImpl_UT.h,8
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\EnsembleImpl_UT.cpp,405
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\EnsembleImpl_UT.h,372
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\ParameterImpl_UT.cpp,9
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\ParameterImpl_UT.h,38
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\PSP_ToolRegulator_UT.h,186
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\PSP_ToolRegulatorImpl_UT.h,173
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\PSPCaliFormatReader_UT.h,50
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\pspHardware_UT.h,33
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\PSPString_UT.h,7
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\RepresentationImpl_UT.cpp,9
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\RepresentationImpl_UT.h,20
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\SimModuleImpl_UT.h,20
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\SimUISupportImpl_UT.h,9
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\SlbMsgLogger_UT.h,37
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\SlotImpl_Df.h,35
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\SlotImpl_Param.h,16
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\SlotImpl_UT.h,123
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\TFFModuleImpl_UT.h,14
HzApplications\Common\UnitTest\MwAUTOS\Service\Common\Mock\ToolCtrlImpl_UT.h,25
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService\ExcelService\Application.h,759
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService\ExcelService\Range.h,433
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService\ExcelService\Ranges.h,21
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService\ExcelService\Workbook.h,435
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService\ExcelService\Workbooks.h,45
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService\ExcelService\Worksheet.h,277
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService\ExcelService\Worksheets.h,44
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService_Test\DnMEquipment_UnitTest.cpp,53
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService_Test\TestUtility.h,14
HzApplications\Common\UnitTest\MwAUTOS\Service\TestService_Test\WlEquipment_UnitTest.cpp,53
HzApplications\Common\UnitTest\MwAUTOS\Utility\EnumBSTRFetcher\AdoWrapper.cpp,401
HzApplications\Common\UnitTest\MwAUTOS\Utility\EnumBSTRFetcher\ExcelService\Application.h,759
HzApplications\Common\UnitTest\MwAUTOS\Utility\EnumBSTRFetcher\ExcelService\Range.h,433
HzApplications\Common\UnitTest\MwAUTOS\Utility\EnumBSTRFetcher\ExcelService\Ranges.h,21
HzApplications\Common\UnitTest\MwAUTOS\Utility\EnumBSTRFetcher\ExcelService\Workbook.h,435
HzApplications\Common\UnitTest\MwAUTOS\Utility\EnumBSTRFetcher\ExcelService\Workbooks.h,45
HzApplications\Common\UnitTest\MwAUTOS\Utility\EnumBSTRFetcher\ExcelService\Worksheet.h,277
HzApplications\Common\UnitTest\MwAUTOS\Utility\EnumBSTRFetcher\ExcelService\Worksheets.h,44
HzApplications\Common\WaveformViewer\WldWrapper\Include\AbsentImpl.h,45
HzApplications\Common\WaveformViewer\WldWrapper\Include\CSimpleArrayEx.h,40
HzApplications\Common\WaveformViewer\WldWrapper\Include\IMInterfaces.h,303
HzApplications\Common\WaveformViewer\WldWrapper\Include\LGMacros.h,17
HzApplications\Common\WaveformViewer\WldWrapper\Include\LgPropertyChangedEventSink.cpp,20
HzApplications\Common\WaveformViewer\WldWrapper\Include\LgPropertyChangedEventSink.h,15
HzApplications\Common\WaveformViewer\WldWrapper\Include\LgWrappers.cpp,884
HzApplications\Common\WaveformViewer\WldWrapper\Include\LgWrappers.h,459
HzApplications\Common\WaveformViewer\WldWrapper\WldWrapper\IMHelper.cpp,59
HzApplications\Common\WaveformViewer\WldWrapper\WldWrapper\IMHelper.h,12
HzApplications\Common\WaveformViewer\WldWrapper\WldWrapper\LgDataFinder.cpp,197
HzApplications\Common\WaveformViewer\WldWrapper\WldWrapper\LgDataFinder.h,8
HzApplications\Common\WaveformViewer\WldWrapper\WldWrapper\LgFilterList.cpp,51
HzApplications\Common\WaveformViewer\WldWrapper\WldWrapper\LgFilterList.h,33
HzApplications\CQG\shared\CQGDycoGeneric.h,21
HzApplications\CSC\Common\Acquisition\CSC_BusMaster.cpp,57
HzApplications\CSC\Common\CSC_AcquisitionStructures.h,43
HzApplications\CSC\Common\CSC_CustomUI\CSC_SimUI_Include.cs,54
HzApplications\CSC\Common\Simulation\CSC_SimulationSoftware.h,124
HzApplications\CSC\Common\Simulation_UI\CSC_SimUI.cs,26
HzApplications\CSC\Common\Simulation_UI\CSC_SimUI_Include.cs,54
HzApplications\CSC\Common\Tasks\CSC_CalibrationHistory.cpp,94
HzApplications\CSC\Common\Tasks\CSC_CalibrationHistory.h,60
HzApplications\CSC\Common\Tasks\CSC_Init_AssetMemoryTask.cpp,69
HzApplications\CSC\Common\Tasks\CSC_Init_AssetMemoryTask.h,73
HzApplications\CSC\Common\Tasks\CSC_ReportTOR_Task.cpp,92
HzApplications\CSC\Common\Tasks\CSC_ReportTOR_Task.h,55
HzApplications\CSC\Common\Tasks\FWDHeader.h,26
HzApplications\CSC\Common\Tasks\IPLT_FirmwareDnLoadTask.cpp,17
HzApplications\CSC\Common\Tasks\IPLT_FirmwareDnLoadTask.h,45
HzApplications\CSC\CSC_GTest\CSC_AcqFirmwareTest.cpp,16
HzApplications\CSC\CSC_Stdafx.h,10
HzApplications\CSC\HNGC\Equipment\HNGC_Tool.cpp,19
HzApplications\CSC\HNGC\Equipment\HNGC_ToolElement_HNGC.cpp,10
HzApplications\CSC\HNGC\Equipment\HNGC_ToolElement_HNGCA.cpp,9
HzApplications\CSC\HNGC\Equipment\HNGC_ToolElement_HNGCA.h,8
HzApplications\CSC\HNGC\Equipment\HNGC_ToolElement_HNGCB.cpp,9
HzApplications\CSC\HNGC\Equipment\HNGC_ToolElement_HNGCB.h,15
HzApplications\CSC\LDSC\Equipment\LDSC_Tool.cpp,7
HzApplications\CSC\LDSC\Equipment\LDSC_ToolElement_LDSC.cpp,10
HzApplications\CSC\LDSC\Equipment\LDSC_ToolElement_LDSCA.cpp,9
HzApplications\CSC\LDSC\Equipment\LDSC_ToolElement_LDSCA.h,16
HzApplications\CSC\LDSC\Equipment\LDSC_ToolElement_LDSCB.cpp,9
HzApplications\CSC\LDSC\Equipment\LDSC_ToolElement_LDSCB.h,7
HzApplications\CSR\Computation\CSR_DfModule_ChannelsGating.cpp,14
HzApplications\CSR\CSR_CustomUI\CSR_CCOL_LgPlugin.cs,12
HzApplications\CSR\CSR_CustomUI\CSR_JointTable\CSR_JointTableProperty.cs,14
HzApplications\CST\Acquisition\SamplingToolPowerAcqModule.cpp,452
HzApplications\CST\Acquisition\SamplingToolPowerAcqModule.h,9
HzApplications\CST\Common\SamplingUtility.h,24
HzApplications\CST\Equipment\SamplingSharedEnsemble.cpp,36
HzApplications\CST\Include\SamplingHardware.h,22
HzApplications\CST\Include\SamplingSoftware.h,19
HzApplications\CST\SamplingUIP\Controls\CustomGaugeViewer.cs,42
HzApplications\CST\SamplingUIP\GatherSamplesTaskUI.cs,20
HzApplications\CST\SamplingUIP\SamplingCommon.cs,17
HzApplications\CST\SamplingUIP\SamplingDepthsSummary.cs,7
HzApplications\CST\SamplingUIP\SamplingReport.cs,18
HzApplications\CST\SamplingUIP\SamplingToolBar.cs,7
HzApplications\CST\SamplingUIP\ShootPosition\ShootPosition.cs,14
HzApplications\CST\SamplingUIP\SidewallCoreSummaryTableDataProvider.cs,154
HzApplications\CST\SamplingUIP\SurfaceHotCheckTaskUI.cs,8
HzApplications\CST\SimulationUI\Sampling_SimUI.cs,16
HzApplications\Curie\Acquisition\CurieHSPMAcqModuleImpl.h,35
HzApplications\Curie\SGEngine\sg_engine.cpp,18
HzApplications\Curie\SGEngine\sg_global.h,12
HzApplications\Curie\SGEngine\sg_standards.cpp,4782
HzApplications\Curie\SGEngine\sg_test.cpp,68
HzApplications\Curie\SGEngine\SGEngineLib.h,12
HzApplications\DDR_B\Common\DDR_B_CollarImpl.cpp,28
HzApplications\DDR_B\Common\DDR_B_EquipmentTestHelper.h,203
HzApplications\DDR_B\Common\DDR_B_FakeDnMSingleSegmentToolImpl.cpp,9
HzApplications\DDR_B\Common\DDR_B_FakeDnMToolElementImpl.cpp,11
HzApplications\DDR_B\Common\DDR_B_FakeDnMToolElementImpl.h,52
HzApplications\DDR_B\Common\DDR_B_Parameters.h,249
HzApplications\DDR_B\Common\DDR_B_SaverSubImpl.cpp,7
HzApplications\DDR_B\Common\DDR_B_ShockAlarm_FModImpl.cpp,15
HzApplications\DDR_B\Common\DDR_B_ToolImpl.cpp,10
HzApplications\DDR_B\EMLA\Common\EMLA_Calibrations.h,39
HzApplications\DDR_B\EMLA\Common\EMLA_HSPMAcqModule.cpp,15
HzApplications\DDR_B\EMLA\Common\EMLA_Parameters.h,15
HzApplications\DDR_B\EMLA\Common\EMLA_Resistivity.cpp,26
HzApplications\DDR_B\EMLA\Common\EMLA_RMchannels.h,36
HzApplications\DDR_B\EMLA\EMLA_825\Equipment\EMLA825_Element.h,10
HzApplications\DDR_B\EMLA\EMLA_825\Equipment\EMLA825_Tool.cpp,10
HzApplications\DDR_B\UD1T\Common\UD1T_Tool_Impl.cpp,38
HzApplications\DDR_B\UD1T\UD1T_675\Equipment\UD1T_675Tool.cpp,10
HzApplications\DDR_B\UD1T\UD1T_825\Equipment\UD1T_825Tool.cpp,10
HzApplications\DDR_B\UD1T\UnitTest\Fakes\UD1T_FakeDnMSingleSegmentToolImpl.cpp,9
HzApplications\DDR_B\UD1T\UnitTest\Fakes\UD1T_FakeDnMToolElementImpl.cpp,11
HzApplications\DDR_B\UD1T\UnitTest\Fakes\UD1T_FakeDnMToolElementImpl.h,52
HzApplications\DDR_B\UD1T\UnitTest\UD1T_475_GTest\UD1T_475_ToolTest.cpp,104
HzApplications\DDR_B\UD1T\UnitTest\UD1T_675_GTest\UD1T_675_ToolTest.cpp,104
HzApplications\DDR_B\UD1T\UnitTest\UD1T_825_GTest\UD1T_825_ToolTest.cpp,54
HzApplications\DDR_B\UD3R_1\Common\UD3R_1_Parameters.h,8
HzApplications\DDR_B\UD3R_1\Common\UD3R_1_RTchannels.h,14
HzApplications\DDR_B\UD3R_1\UnitTest\UD3R_1_475_GTest\UD3R_1_475_ToolTest.cpp,104
HzApplications\DDR_B\UD3R_1\UnitTest\UD3R_1_675_GTest\UD3R_1_675_ToolTest.cpp,104
HzApplications\DDR_B\UD3R_1\UnitTest\UD3R_1_825_GTest\UD3R_1_825_ToolTest.cpp,98
HzApplications\DDR_B\UD3R_2\Common\UD3R_2_Parameters.h,8
HzApplications\DDR_B\UD3R_2\Common\UD3R_2_RTchannels.h,14
HzApplications\DDR_B\UD3R_2\UnitTest\UD3R_2_475_GTest\UD3R_2_475_ToolTest.cpp,104
HzApplications\DDR_B\UD3R_2\UnitTest\UD3R_2_675_GTest\UD3R_2_675_ToolTest.cpp,104
HzApplications\DDR_B\UD3R_2\UnitTest\UD3R_2_825_GTest\UD3R_2_825_ToolTest.cpp,98
HzApplications\DDR_B\UD3R_3\Common\UD3R_3_RTchannels.h,14
HzApplications\DDR_B\UD3R_3\UnitTest\UD3R_3_475_GTest\UD3R_3_475_ToolTest.cpp,104
HzApplications\DDR_B\UD3R_3\UnitTest\UD3R_3_675_GTest\UD3R_3_675_ToolTest.cpp,104
HzApplications\DDR_B\UD3R_3\UnitTest\UD3R_3_825_GTest\UD3R_3_825_ToolTest.cpp,98
HzApplications\DecisionXpress\Computation\DEX_DfModuleProc.cpp,10
HzApplications\DecisionXpress\Computation\SLBHzDEXComputation.cpp,54
HzApplications\DecisionXpress\DEX_GTest\DEX_DFUnitTest.cpp,10
HzApplications\DLT\Acquisition\DLTE_AcqModule.h,8
HzApplications\DLT\Calibration\DLTE_ElectronicAccumulationTask.h,7
HzApplications\DLT\ToolControl\DLTE_ToolControlTask_CheckCurrentReturn.cpp,24
HzApplications\DLT\ToolControl\DLTE_ToolControlTask_CheckCurrentReturn.h,26
HzApplications\DMM\common\DMM_MSE_Mod.cpp,23
HzApplications\DMM\dmm675\DMM675Tool.cpp,14
HzApplications\DMM\dmm900\DMM900Tool.cpp,14
HzApplications\DMM\UnitTest\Fakes\DMMFakeAutoConfigDFModuleImpl.h,7
HzApplications\DMM\UnitTest\Fakes\DMMFakeDnMSingleSegmentToolImpl.h,9
HzApplications\DMM\UnitTest\Fakes\DMMFakeDnMToolElementImpl.h,48
HzApplications\DnM_Common\ARC\ARC_GREnvCorr_BModImpl.h,9
HzApplications\DnM_Common\ARC\ArcWizard\ARCWizardComp.cpp,10
HzApplications\DnM_Common\ARC\ArcWizard\ArcWzBHCModuleImpl.h,13
HzApplications\DnM_Common\ARC\ArcWizard\ArcWzBHCModuleImplRT.h,29
HzApplications\DnM_Common\ARC\ArcWizard\ArcWzEntryModule.cpp,139
HzApplications\DnM_Common\ARC\ArcWizard\ArcWzEntryModule.h,7
HzApplications\DnM_Common\ARC\ArcWizard\ArcWzModuleImpl.h,8
HzApplications\DnM_Common\ARC\ArcWizard\ArcWzPeriBHCModuleImplRT.h,83
HzApplications\DnM_Common\ARC\ArcWizard\ArcWzResistivityModuleImpl.h,66
HzApplications\DnM_Common\ARC\ArcWizard\UnitTest\ARCWizard_GTest\BinRes.cpp,24
HzApplications\DnM_Common\ARC\Resistivity_ToolBase.h,10
HzApplications\DnM_Common\ARC\UnitTest\Fakes\ARCFakeDnMSingleSegmentToolImpl.h,9
HzApplications\DnM_Common\ARC\UnitTest\Fakes\ARCFakeDnMToolElementImpl.h,48
HzApplications\DnM_Common\DnM_Channels.h,50
HzApplications\DnM_Common\ESDAcqModuleImpl.h,14
HzApplications\DnM_Common\GammaRayImageModuleImpl.h,18
HzApplications\DnM_Common\MWD_DnIBaseModules.h,195
HzApplications\DnM_Common\NeutronUtils.cpp,16
HzApplications\DnM_Common\NMR\EquipmentBase\NMR_ToolBase.h,27
HzApplications\DnM_Common\NMR\GraphicsModule\NMRT2CurveTM.cpp,29
HzApplications\DnM_Common\NMR\NMR_BinPorosityModuleImpl.h,61
HzApplications\DnM_Common\NMR\NMR_Constants.h,15
HzApplications\DnM_Common\NMR\NMR_DPointCatalogImpl.h,19
HzApplications\DnM_Common\NMR\NMR_KTIMModuleImpl.h,13
HzApplications\DnM_Common\NMR\NMR_RmChannelCatalogImpl.h,22
HzApplications\DnM_Common\NMR\NMR_RmParameters.h,326
HzApplications\DnM_Common\NMR\NMR_RtDMRPModuleImpl.h,22
HzApplications\DnM_Common\SurveyStationComputation.cpp,18
HzApplications\DnM_Common\Ticks_BaseModules.h,10
HzApplications\DnM_Common\UnitTest\EquipmentTestHelper.h,144
HzApplications\DnM_Common\UnitTest\Fakes\FakeDnMToolElementImpl.h,12
HzApplications\DnM_Common\UnitTest\ShockAlarmTestBase.h,10
HzApplications\DSLT\Check\DslcCheckTaskBase.h,39
HzApplications\DSLT\Check\DslcCheckUtility.cpp,20
HzApplications\DSLT\DSLT_CEVAL\DSLT_VdlModule.cpp,8
HzApplications\DSLT\DSLT_DFAD\dfad.h,157
HzApplications\DSLT\DSLT_SonicOpenHole\Computation\SonicOH_PorosityDfModule.cpp,7
HzApplications\DSLT\DSLT_SonicOpenHole\Include\SonicOH_Software.h,11
HzApplications\DSLT\DSLT_WaveformViewer\DSLT_TM.cs,44
HzApplications\DSST\Acquisition\DsstAttribute.h,10
HzApplications\DSST\Acquisition\DsstDhc.cpp,7
HzApplications\DSST\Acquisition\DsstFmdMessageInterpreter.cpp,7
HzApplications\DSST\Acquisition\DsstLogger.cpp,8
HzApplications\DSST\Acquisition\DsstSmdr.cpp,8
HzApplications\DSST\Acquisition\DsstSmdx.cpp,8
HzApplications\DSST\Acquisition\DsstWfMessageInterpreter.cpp,7
HzApplications\DSST\Common\DsstDataChannelSlotList.cpp,10
HzApplications\DSST\Common\DsstParameterSlotList.cpp,11
HzApplications\DSST\Computation\DsstWaveformIndexData.h,80
HzApplications\DSST\Computation\Dstc\DSST_DstcRxArrayModuleImpl.cpp,7
HzApplications\DSST\Computation\Dstc\DSST_DstcTxArrayModuleImpl.cpp,7
HzApplications\DSST\Computation\Dstc\DsstDstcParameters.h,8
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_LowerDipole_Rx.cpp,18
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_LowerDipole_Rx.h,23
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_LowerDipole_Tx.cpp,18
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_LowerDipole_Tx.h,23
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_PandS_Rx.cpp,31
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_PandS_Rx.h,19
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_PandS_Tx.cpp,31
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_PandS_Tx.h,19
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_Stoneley_Rx.cpp,18
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_Stoneley_Rx.h,23
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_Stoneley_Tx.cpp,18
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_Stoneley_Tx.h,23
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_UpperDipole_Rx.cpp,18
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_UpperDipole_Rx.h,23
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_UpperDipole_Tx.cpp,18
HzApplications\DSST\Computation\Relabeling\DSST_RelabelingDFM_UpperDipole_Tx.h,23
HzApplications\DSST\Computation\SmartParameterSelection\DSST_SpsModuleImpl.cpp,11
HzApplications\DSST\Computation\SmartParameterSelection\DsstDstcResizedValueHelper.cpp,7
HzApplications\DSST\Computation\SonicOpenHole\DSST_SonicOpenHoleDTCompBasedModule.cpp,18
HzApplications\DSST\Computation\SonicOpenHole\DSST_SonicOpenHoleDTShearAndCompBasedModule.cpp,24
HzApplications\DSST\Computation\SonicOpenHole\DSST_SonicOpenHoleDTShearAndCompBasedModule.h,20
HzApplications\DSST\Computation\SonicOpenHole\DSST_SonicOpenHoleDTShearBasedModule.cpp,44
HzApplications\DSST\Computation\SonicOpenHole\DSST_SonicOpenHoleDTShearBasedModule.h,20
HzApplications\DSST\Computation\Spectrum\dsst_fft.cpp,69
HzApplications\DSST\Computation\Spectrum\DSST_SpctCompExpertModule.cpp,8
HzApplications\DSST\Computation\Spectrum\DSST_SpctCompModuleImpl.cpp,39
HzApplications\DSST\Computation\Spectrum\DSST_SpctGraphExpertModule.cpp,26
HzApplications\DSST\Computation\Spectrum\DSST_SpctGraphModuleImpl.cpp,57
HzApplications\DSST\Computation\Switch\DSST_DtssSwitchModule.cpp,44
HzApplications\DSST\Computation\Switch\DSST_SwitchModuleImpl.h,10
HzApplications\DSST\Computation\Tracking\DSST_TrackingLowerDipoleRxArrayModule.cpp,12
HzApplications\DSST\Computation\Tracking\DSST_TrackingLowerDipoleTxArrayModule.cpp,12
HzApplications\DSST\Computation\Tracking\DSST_TrackingPandSRxArrayModule.cpp,10
HzApplications\DSST\Computation\Tracking\DSST_TrackingPandSTxArrayModule.cpp,10
HzApplications\DSST\Computation\Tracking\DSST_TrackingStoneleyTxArrayModule.cpp,12
HzApplications\DSST\Computation\Tracking\DSST_TrackingUpperDipoleRxArrayModule.cpp,12
HzApplications\DSST\Computation\Tracking\DSST_TrackingUpperDipoleTxArrayModule.cpp,12
HzApplications\DSST\Computation\Tracking\DsstTrackingParametersAdapter.cpp,11
HzApplications\DSST\Computation\WfExtraction\DSST_WfExtractionModuleImpl.cpp,10
HzApplications\DSST\DSST_GraphicsModule\DsstProjectionTM.cpp,37
HzApplications\DSST\DSST_GraphicsModule\DsstSpectrumTM.cpp,8
HzApplications\DSST\DSST_GraphicsModule\DsstTrackingCurveTM.cpp,30
HzApplications\DSST\DSST_GraphicsModule\DsstWaveformTM.cpp,8
HzApplications\DSST\DSST_WaveformViewer\DSST_TM.cs,11
HzApplications\DSST\Equipment\DSST_Tool_DsstB.cpp,29
HzApplications\DSST\Equipment\DSST_Tool_DsstH.cpp,31
HzApplications\DSST\Equipment\DSST_Tool_DsstHB.cpp,39
HzApplications\DSST\Equipment\DsstEquipmentChecker.cpp,38
HzApplications\DSST\gTest\DsstDstcDepthOffset_GTest.cpp,36
HzApplications\DSST\ParameterModule\DSST_AcqParameterModuleImpl.h,32
HzApplications\DSST\ParameterModule\DSST_AcqSAMXParameterModule.cpp,21
HzApplications\DSST\Simulation\DsstAcqSimDefaultValueTables.h,73
HzApplications\DSST\Simulation\DsstAcqSimModule.cpp,28
HzApplications\DSST\Simulation\DsstAcqSimParameterName.h,10
HzApplications\DSST\TnD\DSST_ADCCheckReport.cpp,41
HzApplications\DSST\TnD\DSST_ADCHTMLReport.cpp,57
HzApplications\DSST\TnD\DSST_AmplitudeCheckResult.h,51
HzApplications\DSST\TnD\DSST_CkDgTnDTask.cpp,81
HzApplications\DSST\TnD\DSST_CkDgTnDTask.h,21
HzApplications\DSST\TnD\DSST_S2CheckResult.h,39
HzApplications\DSST\TnD\DSST_S4CheckReport.cpp,37
HzApplications\DSST\TnD\DSST_S4HTMLReport.cpp,53
HzApplications\DSST\TnD\DSST_S8CheckResult.h,12
HzApplications\DSST\TnD\DSST_SMDRCheckResult.h,16
HzApplications\DSST\TnD\DsstCheckDiagUtil.h,14
HzApplications\DSST\ToolCheck\DSST_ToolCheckAccumTask.cpp,43
HzApplications\DSST\ToolCheck\DSST_ToolCheckAccumTask.h,29
HzApplications\DSST\ToolCheck\DSST_ToolCheckReport.cpp,14
HzApplications\DSST\ToolCheck\DsstFFT.cpp,59
HzApplications\DSST\UI\ParameterWorksheet\DSST_DropDownCell.cs,19
HzApplications\DSST\UI\ParameterWorksheet\DSST_ParameterEnumString.cs,23
HzApplications\DSST\UI\ParameterWorksheet\DSST_ParameterFloat.cs,25
HzApplications\DSST\UI\ParameterWorksheet\DSST_ParameterInt.cs,35
HzApplications\DSST\UI\ParameterWorksheet\DSST_ParameterValidator.cs,22
HzApplications\DSST\UI\ParameterWorksheet\DSST_SASEditor.cs,80
HzApplications\DSST\UI\RelabelingUI\DSST_RelabelingLogPlugIn.cs,8
HzApplications\DSST\UI\RelabelingUI\DSST_RelabelingOptionUI.cs,7
HzApplications\DSST\UI\RelabelingUI\ParameterReader.cs,47
HzApplications\DVDXT\Acquisition\DVDxT_AcqModule.h,9
HzApplications\DVDXT\Acquisition\DVDxT_DnIAcqModule.h,8
HzApplications\DVDXT\DVDxTIntegrationAutoTest\AssemblySpecific.cpp,8
HzApplications\DVDXT\DVDxTIntegrationTest_GTest\DVDxT_ToolEnsembleUnitTestBase.cpp,14
